French,English
partie,part
histoire,history
pensais,thought
aide,help
demande,request
genre,kind
mois,month
laisser,let
car,because
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
leurs,their
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
perdu,lost
pouvoir,power
vieux,old
tiens,here
tellement,so much
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
fin,end
plutôt,rather
filles,girls
bureau,office
